year,day,stock_A,stock_B
1,1,2000,750
1,2,1989.4727375780753,752.2461736733403
1,3,1963.7631199416128,754.104512645522
1,4,1981.9575215471211,766.8752755870539
1,5,1997.5678568031096,767.2567297867353
1,6,1992.38808799925,767.4129690803119
1,7,2005.2400895772676,789.8552057665952
1,8,1996.7561445117246,807.3300915533166
1,9,1993.0985869461272,840.2553594114314
1,10,1993.171763342704,843.8314100914342
1,11,1979.8209503697435,854.1822287773385
1,12,1980.2688122801744,877.7161289711917
1,13,1980.5125522477351,897.0875143206829
1,14,1978.0821111272028,879.5593786042296
1,15,1980.872958999997,888.4965657518899
1,16,1983.8226057618795,883.529950721406
1,17,1981.5299425382436,894.903982565393
1,18,2003.7424384821447,905.3123862809264
1,19,2004.607163363512,890.649739350524
1,20,2011.0990819128422,896.557601816031
1,21,2002.68249523426,847.9084643403767
1,22,2013.4999716323819,865.4873687240869
1,23,2012.822907271897,893.0476800004005
1,24,1995.6423106497357,871.9254833401725
1,25,1987.646286026299,864.2647575550448
1,26,1981.0859567303862,869.9853585252279
1,27,1991.7729325527373,873.3128624833122
1,28,2001.327205092318,881.2968257902497
1,29,2003.782626528231,892.9474399169118
1,30,1988.9592079112156,902.5652662428461
1,31,1981.2910112991262,937.2584674723987
1,32,1988.4417285121583,941.3743580123298
1,33,1990.4608119221452,934.1551848529151
1,34,1977.1837237747611,928.531298240032
1,35,1979.0812933407176,917.7389742503805
1,36,1972.6399540671753,905.5584841854197
1,37,1973.4193228042936,913.4771164457035
1,38,1979.9085950945926,891.0188334397697
1,39,1969.1698131213577,900.0099730159469
1,40,1994.0837508222733,914.584234435052
1,41,1997.4240552580416,892.9628729613996
1,42,1997.563090107379,869.6041095474327
1,43,2006.3184157521553,877.0222075462264
1,44,2007.1643094131482,877.1339132432281
1,45,1990.5201192570116,878.2088813668909
1,46,1979.0094745567822,898.389828372632
1,47,1983.236851490451,907.8178264899029
1,48,1983.7283842763538,909.4316390045528
1,49,1996.1057271657035,911.2586638498101
1,50,1995.4553935950444,893.5300878037868
1,51,1997.3758682306993,896.3876245905062
1,52,1994.8612885740029,901.3635257194852
1,53,1996.3289370723849,897.8069184200472
1,54,1979.1176038832748,915.9012049280187
1,55,1974.2811575000953,917.8134216512167
1,56,1970.284817780388,910.5015574850758
1,57,1980.3199828675754,917.9800217407047
1,58,1975.1675403541763,933.9752705659286
1,59,1971.8921130538124,912.104022543262
1,60,1989.890502007413,901.671042018935
1,61,1984.7367176729008,882.2026261384574
1,62,1996.6020081020417,876.0763527872598
1,63,2003.3223385159783,895.4180811999921
1,64,2002.8267003468884,893.9056972251913
1,65,1986.6720631018222,888.6980986339267
1,66,1987.0699085414244,898.9671909274033
1,67,1987.564273910007,904.033433994744
1,68,1992.8992608275653,882.6153230706112
1,69,1981.726572532527,883.5213916368228
1,70,1976.102799502044,887.3402850750874
1,71,1982.6315022731837,886.5800769602097
1,72,1986.3237372261988,884.2392849329339
1,73,1979.1697965041783,879.2291479220763
1,74,1967.5554321475815,862.767172710686
1,75,1994.8540332545585,864.1400218318264
1,76,1991.8487973316319,840.8343291921798
1,77,1993.6474754582628,847.8379741367431
1,78,2002.8356482038496,849.901250583264
1,79,2009.677912768967,846.785949341752
1,80,2024.5294357060138,859.637935009315
1,81,2029.7185686974349,847.6016222581588
1,82,2035.8412334600703,856.1502116909304
1,83,2052.236699972614,859.4598978149701
1,84,2055.053844392259,880.9280791310089
1,85,2064.80473053616,870.0570995037889
1,86,2051.0854526278536,854.7521268455689
1,87,2065.0056997859883,856.4252589289878
1,88,2061.4692039814886,857.5013446812544
1,89,2062.769557412096,867.7522715134534
1,90,2068.9816336902245,890.9775829776289
1,91,2069.69692516641,922.6806528967873
1,92,2085.3770029400125,931.4920490123139
1,93,2078.9899592793267,932.9134001555672
1,94,2080.5990705397544,945.065073146249
1,95,2077.8382479456477,966.2030589533997
1,96,2083.354334311221,961.6628255966673
1,97,2086.5436835821697,979.3221314287695
1,98,2086.708802772278,970.5615582804409
1,99,2078.994190365748,997.1561784708992
1,100,2094.183881860547,992.8303020369021
1,101,2097.7099721123127,981.7544851893783
1,102,2094.599219016544,969.5560912193587
1,103,2084.649720746581,974.2869827646629
1,104,2086.033391238999,991.1349477414393
1,105,2088.7303151305596,994.8751295796492
1,106,2092.591873921712,1010.4605088889765
1,107,2092.5076372817057,1005.8297716821384
1,108,2075.8525460866517,984.1429286183306
1,109,2097.605849070769,973.4303980810828
1,110,2097.232903163588,971.4844057503402
1,111,2106.1623863926147,967.3071721257639
1,112,2128.8362828887603,964.9627016094867
1,113,2136.200241552171,982.3622526840271
1,114,2143.341302310479,980.3476494742129
1,115,2119.5235277308684,981.5104744512157
1,116,2106.435341589634,970.92338913299875
1,117,2105.8971758604703,960.1143773269027
1,118,2105.8335374165317,960.0068896597714
1,119,2098.7661691040234,973.9239990352032
1,120,2125.4040918517135,963.2884822866542
1,121,2133.7799773464385,964.0697554958426
1,122,2134.9393985780493,952.6614208486191
1,123,2147.765976224357,935.9384118776769
1,124,2155.037252990266,926.0657910025695
1,125,2147.5296982470813,925.0339437427708
1,126,2164.851320022407,919.84381242908
1,127,2158.3373659108984,917.1908566533239
1,128,2154.710797981988,889.0987326223373
1,129,2154.9388786751665,882.4251863259013
1,130,2157.207276631907,923.7728318770107
1,131,2150.4792221706675,934.471544917868
1,132,2156.792408228336,940.3963102130891
1,133,2150.255912096043,939.3625367184393
1,134,2136.753083618628,937.9132014583523
1,135,2132.2062674191047,929.296400657331
1,136,2139.4968838727646,931.2243921921853
1,137,2137.7699162083923,951.7785883386923
1,138,2131.87822500076,929.71336654356
1,139,2134.0356426380495,908.3955187314966
1,140,2122.5394053636537,900.9937532614822
1,141,2115.397974950558,904.6423900895473
1,142,2106.8327027079868,899.8682469846509
1,143,2109.3670855822693,898.4459367418943
1,144,2116.2209919407765,902.9848312743098
1,145,2128.5540002949983,907.651414979895
1,146,2133.4204331825827,920.5185277020307
1,147,2130.6598896558335,930.6910381889612
1,148,2120.737061333688,924.5736369400751
1,149,2109.8147563121734,940.2482513137684
1,150,2112.1055981394115,910.1307164143419
1,151,2109.7443156170093,920.8161153567597
1,152,2128.3828844559607,921.2805781660703
1,153,2114.310541377635,922.4720298562282
1,154,2104.0488617383658,927.3436315378531
1,155,2130.565787301392,937.4414675596747
1,156,2130.3353141723255,942.8684921312024
1,157,2150.104157159487,935.6587171561359
1,158,2150.15756641432,907.7759366214041
1,159,2155.4609975007306,902.3989487041322
1,160,2149.7543993317267,912.9642291679496
1,161,2155.5711469637868,895.5693032041495
1,162,2159.477555990147,920.5152375797784
1,163,2158.3039193083628,906.1590976942473
1,164,2154.689359062427,910.1162018338904
1,165,2172.330626748645,915.711993194363
1,166,2185.552165491449,924.5154079935268
1,167,2174.8844471069206,912.8181265526431
1,168,2185.2158655532057,929.2755345603564
1,169,2183.7587173069237,927.0965133791041
1,170,2201.302366210075,933.6098609839983
1,171,2214.1007080099084,961.4255568982064
1,172,2223.7116803229783,956.9744172539959
1,173,2220.5245969381276,974.4841606478285
1,174,2229.1371948484452,968.5976533758471
1,175,2230.1862904737313,981.7713415897108
1,176,2234.285029030636,976.8715705413631
1,177,2237.707004657332,980.6052916332291
1,178,2235.833830832762,988.3725616251795
1,179,2222.6701285927084,995.1189211478568
1,180,2218.1007295069016,974.6795641780748
1,181,2215.5001493388168,971.8378102545429
1,182,2208.8393213994427,961.3775728209949
1,183,2200.5156983898673,992.0066295210949
1,184,2210.4859515092794,994.5052698304199
1,185,2194.2788112207813,994.6393265493983
1,186,2206.065915617885,1032.3515088951845
1,187,2217.9681531715983,1033.052249756498
1,188,2215.071508145886,1028.211635355248
1,189,2232.2187305877114,1022.1155153723125
1,190,2240.6667973320027,1022.4103455594452
1,191,2232.738710098187,992.0967115878882
1,192,2233.3265679272395,978.1928341301361
1,193,2235.275434553101,974.1732445039196
1,194,2241.5191507618997,976.1324978978215
1,195,2239.674469902853,971.836818775834
1,196,2252.6184586239933,986.7443322273
1,197,2261.593635987032,1004.0592164511664
1,198,2266.108839537785,1027.1267556261384
1,199,2265.371022934142,1051.3894361549048
1,200,2270.3092100849303,1066.307275717222
1,201,2270.3801090899515,1045.451095676798
1,202,2267.0467359666,1029.5511863888546
1,203,2267.984005066345,1022.0805382936834
1,204,2268.1933738690577,1015.9837880514208
1,205,2277.0090604758598,999.4082278698506
1,206,2280.074972940747,999.6289638014009
1,207,2293.9173247089307,1024.9999722486468
1,208,2294.197050321107,1026.2780423904787
1,209,2295.4736434133074,1038.8729598695709
1,210,2298.18917776036,1061.8342821245699
1,211,2290.660798691837,1060.7445821179015
1,212,2276.1222218454277,1034.9500987938386
1,213,2268.9561636211206,1040.4688229122185
1,214,2268.603875905306,1042.0573193711448
1,215,2269.0694677124998,1030.7439700935722
1,216,2259.4679645059196,1011.5155728744246
1,217,2261.2488530295423,991.3596242352166
1,218,2272.198873220873,996.9523833256906
1,219,2275.104853961486,1009.5065779728677
1,220,2283.7929869596665,1030.5254360584204
1,221,2287.4534813479318,1022.253345240886
1,222,2285.2225879902903,1011.8973515682803
1,223,2270.2593796461088,1011.8420874586362
1,224,2259.5500027098547,1028.1052027461064
1,225,2264.583405356992,1000.7559868831314
1,226,2263.7772193511705,997.0593081973701
1,227,2273.820253718376,977.7636759948281
1,228,2260.3350346886264,978.6749598409713
1,229,2264.8872687965318,951.6057115502634
1,230,2266.402729316241,947.6172049399996
1,231,2285.754587262494,948.9310559531527
1,232,2293.4662658516804,947.675228967803
1,233,2289.81315466452,962.4118041577208
1,234,2276.4010085793893,974.429412831544
1,235,2280.830763187368,985.2222759513668
1,236,2278.9892669039937,1013.3065614260975
1,237,2284.467184247293,1043.4229094000596
1,238,2280.0613342316174,1051.328114563614
1,239,2285.8417741222747,1048.0076698959576
1,240,2302.9271398476417,1041.7595658012674
1,241,2321.4772993808483,1023.3230050277941
1,242,2325.097645319142,1054.530411475135
1,243,2335.815853713708,1060.6242714110006
1,244,2333.5732983643834,1066.8781835825328
1,245,2359.150375665655,1062.773044588948
1,246,2359.3672201264285,1046.0774951500507
1,247,2356.686128537979,1042.6247435992452
1,248,2339.328343288057,1026.3360512051454
1,249,2327.917878788721,1043.821246832899
1,250,2355.161565525248,1050.7364529642362
1,251,2347.371817845601,1015.6534734834784
1,252,2345.9383292399666,1033.0890316858677
1,253,2363.8218476662178,1029.5651402027286
1,254,2356.6069413420737,1036.497610581894
1,255,2356.8079102621446,1045.1725371793102
1,256,2346.152445240908,1048.9675323837664
1,257,2353.783489072017,1069.19829287114
1,258,2362.415090276127,1081.282231640168
1,259,2370.7430793173526,1089.7223344091706
1,260,2381.688594595458,1120.664516567925
1,261,2381.3331376275223,1152.8310299595491
1,262,2378.0655423150993,1149.2334187699503
1,263,2382.7788310977826,1148.7725158027934
1,264,2387.3846635407253,1170.607564685084
1,265,2388.944192751161,1167.5402948237606
1,266,2379.145365346048,1162.8461555963324
1,267,2379.6841597247526,1144.4040990200035
1,268,2382.3040982307216,1152.7781480686035
1,269,2389.4024816396895,1168.6611381801933
1,270,2395.672001779787,1168.3883637319711
1,271,2385.522373055628,1155.7267728614722
1,272,2372.7492477383043,1177.8985145727313
1,273,2389.226881182242,1153.3795261631901
1,274,2380.8355817402653,1150.5687939943311
1,275,2371.7689060031707,1169.5297569332022
1,276,2371.6102250840204,1163.3183484927758
1,277,2375.416168326631,1153.4472624906273
1,278,2379.8058731219435,1147.0470844234867
1,279,2382.5736387034062,1140.322208624611
1,280,2395.490009467832,1127.239996441068
1,281,2416.660402539071,1120.6476639508328
1,282,2415.3190607082665,1109.2275163775998
1,283,2421.5254717523917,1090.8321078228753
1,284,2435.0518255992642,1105.1114589671538
1,285,2426.49984873523,1093.6416285817536
1,286,2425.4464381946705,1111.1744830764458
1,287,2431.531930370839,1099.0273920025131
1,288,2435.614384551939,1115.573183278379
1,289,2412.973248996123,1145.9750695434645
1,290,2416.78963296535,1177.2365023566879
1,291,2418.054046206035,1191.5409328780165
1,292,2401.327756011054,1174.5362600319359
1,293,2385.664830222876,1169.9927249786897
1,294,2394.5057095612847,1145.745918053615
1,295,2386.5860477434535,1166.0913719213345
1,296,2398.090122179453,1192.5924603387866
1,297,2415.1724144509585,1188.5036837668672
1,298,2435.7035849641184,1210.1387940005372
1,299,2432.5895829947735,1204.7270226904307
1,300,2420.8445599098004,1205.0780726881328
1,301,2434.862027598666,1194.2543236839251
1,302,2428.054724839366,1198.9349108988358
1,303,2438.9445808495957,1201.477674661775
1,304,2436.33897762318,1194.5975512140753
1,305,2446.745515653979,1203.1794448611013
1,306,2449.7448696133597,1208.82816110145
1,307,2446.1472769029724,1179.523168216231
1,308,2441.5019545210266,1177.8751224009134
